id,name,artists
1W7023CuJrWPbD4q2Sipoh,what’s wrong with me,"['1McMsnEElThX1knmY4oliG', '6G7P2EzH5A36ujN9VPm4B0']"
388JceJm7784qgHipfPKmr,Friday I'm In Love - Live From Glastonbury,"['1McMsnEElThX1knmY4oliG', '6G7P2EzH5A36ujN9VPm4B0']"
4zzfmeA6MXiM9O4anGZkq5,Just Like Heaven - Live From Glastonbury,"['1McMsnEElThX1knmY4oliG', '6G7P2EzH5A36ujN9VPm4B0']"
3qxzozdGFaBxQ0X4HkrMr0,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
7kykl0pcJjoDhuL9Minuh9,"YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
71JGK9HPfjQNtKq5AhgbTg,"Granted - From ""High School Musical: The Musical: The Series (Season 2)""","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
0nZkXIhuH183AKwF1LAZUy,"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
30UszgTxEuJVG5SUFyBffT,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","['1McMsnEElThX1knmY4oliG', '4VdV2qRAYBLINR6uU72V1J', '3xvaSlT4xsyk6lY1ESOspO']"
6XbnQVPgYAR7GmBvQKRVvv,"I Think I Kinda, You Know – Just for a Moment Mashup - From ""High School Musical: The Musical: The Series""","['1McMsnEElThX1knmY4oliG', '4VdV2qRAYBLINR6uU72V1J']"
5Yc2A0YtK6PaXT8J1MQ0Rd,"Just for a Moment - From ""High School Musical: The Musical: The Series""","['1McMsnEElThX1knmY4oliG', '4VdV2qRAYBLINR6uU72V1J', '3xvaSlT4xsyk6lY1ESOspO']"
2jVqcE5a7GoEEti0OcImc6,"Out of the Old - From ""High School Musical: The Musical: The Series""","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
4Yxc55NX3tAXC2mHRAhtcW,"All I Want - From ""High School Musical: The Musical: The Series""","['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
3PYkZK3DA2Y6JSr1vAXRNf,"What I've Been Looking For - From ""High School Musical: The Musical: The Series""/Nini & E.J. Version","['1McMsnEElThX1knmY4oliG', '61lrTfBVPrE3DOTu9MGmhQ', '3xvaSlT4xsyk6lY1ESOspO']"
6GfTYfb5eBLN1p1ByOsPmi,"Wondering - From ""High School Musical: The Musical: The Series""","['1McMsnEElThX1knmY4oliG', '5aTwY2xyrJy4cS1jlFg1oG', '3xvaSlT4xsyk6lY1ESOspO']"
2UVrIJBJVRPN9UgzShCJ5c,"I Think I Kinda, You Know - Duet","['1McMsnEElThX1knmY4oliG', '4VdV2qRAYBLINR6uU72V1J', '3xvaSlT4xsyk6lY1ESOspO']"
5IZU5UmMN4Q1up8pnW2hWL,Start of Something New - Nini Version,"['1McMsnEElThX1knmY4oliG', '3xvaSlT4xsyk6lY1ESOspO']"
5fvrAgYWC8D63PYqJNh3tf,"Let It Glow - From ""Frozen Northern Lights""","['1McMsnEElThX1knmY4oliG', '612BRdnZhqoymH42utLvA7']"
4lssBDAmUk4e7rv2ajY6H6,Bizaardvark Theme Song,"['1McMsnEElThX1knmY4oliG', '612BRdnZhqoymH42utLvA7']"
0YtQVibEZJ5IPYw6dm0nFJ,Blobfish,"['1McMsnEElThX1knmY4oliG', '612BRdnZhqoymH42utLvA7']"
1glFzU55j6ji6xYEMlvEUx,Love the Haters,"['1McMsnEElThX1knmY4oliG', '612BRdnZhqoymH42utLvA7']"
2WLp3CjnM7iLR7aTrNdwcX,The Comeback Song,"['1McMsnEElThX1knmY4oliG', '612BRdnZhqoymH42utLvA7']"
7maih5X07qAqHxiPtN2mo3,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
1gBeG7MWAJJaCcQdWkRO3T,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']"
3z8MkhnA2WVfzoCrt3bM5j,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']"
28OUThncuwdC6uasRvZd9w,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']"
6RO76UK0g0r1BJqpk3VwXJ,Every Day More Wicked,"['3eLZo1bSslvsu0zNhtmMM4', '46UMQ0cW8ToR8egkBRwAxZ', '5IaJcuBeBkVqhGAzxMciwu', '66CXWjxzNUsdJxJ2JdwvnR']"
0NF7g7bRjrPHpwWmCAMXqk,Thank Goodness / I Couldn’t Be Happier,"['66CXWjxzNUsdJxJ2JdwvnR', '3eLZo1bSslvsu0zNhtmMM4', '5IaJcuBeBkVqhGAzxMciwu']"
0fn8RZiNxBfRHRLX8UJI9T,Wonderful,"['0O1n2TpXR4XizmHi7aY0l8', '66CXWjxzNUsdJxJ2JdwvnR', '46UMQ0cW8ToR8egkBRwAxZ']"
5shGj5OOnpmg4tQlFjyzZY,For Good,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR']"
